Charity,Food Moved KG,Year,eatwellcatagory_name,member_id
Salvation Army Holmewood,651.95,2022,Dairy and alternatives,3287
Salvation Army Holmewood,751.3,2022,Eat less often and in small amounts,3287
Salvation Army Holmewood,2505.4,2022,Fruit and vegetables,3287
Salvation Army Holmewood,329.3,2022,Not Applicable,3287
Salvation Army Holmewood,3,2022,Oil & Spreads,3287
Salvation Army Holmewood,804.65,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3287
Salvation Army Holmewood (YSH),729.5,2022,"Beans, pulses, fish, eggs, meat and other proteins",9462
Salvation Army Holmewood (YSH),9.2,2022,Dairy and alternatives,9462
Salvation Army Holmewood (YSH),319.6,2022,Eat less often and in small amounts,9462
Salvation Army Holmewood (YSH),667.2,2022,Fruit and vegetables,9462
Salvation Army Holmewood (YSH),10,2022,Not Applicable,9462
Salvation Army Holmewood (YSH),373.94,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9462
Scholemoor Beacon,218.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",976
Scholemoor Beacon,205.5,2022,Dairy and alternatives,976
Scholemoor Beacon,211.24,2022,Eat less often and in small amounts,976
Scholemoor Beacon,437.4,2022,Fruit and vegetables,976
Scholemoor Beacon,111.7,2022,Not Applicable,976
Scholemoor Beacon,346.88,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",976
Seed to Table (Northcliffe),631.905,2022,"Beans, pulses, fish, eggs, meat and other proteins",3268
Seed to Table (Northcliffe),240.55,2022,Dairy and alternatives,3268
Seed to Table (Northcliffe),476.44,2022,Eat less often and in small amounts,3268
Seed to Table (Northcliffe),2039.94,2022,Fruit and vegetables,3268
Seed to Table (Northcliffe),412.2,2022,Not Applicable,3268
Seed to Table (Northcliffe),15,2022,Oil & Spreads,3268
Seed to Table (Northcliffe),696.81,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3268
Sesku Academy,1541.35,2022,"Beans, pulses, fish, eggs, meat and other proteins",977
Sesku Academy,609.9,2022,Dairy and alternatives,977
Sesku Academy,807,2022,Eat less often and in small amounts,977
Sesku Academy,2302.05,2022,Fruit and vegetables,977
Sesku Academy,198.8,2022,Not Applicable,977
Sesku Academy,11.7,2022,Oil & Spreads,977
Sesku Academy,1177.75,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",977
Sesku Academy (YSH),468.24,2022,"Beans, pulses, fish, eggs, meat and other proteins",9475
Sesku Academy (YSH),108.9,2022,Eat less often and in small amounts,9475
Sesku Academy (YSH),349.3,2022,Fruit and vegetables,9475
Sesku Academy (YSH),142.97,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9475
SESKU Community Cupboard,818.64,2022,"Beans, pulses, fish, eggs, meat and other proteins",10548
SESKU Community Cupboard,618.7,2022,Dairy and alternatives,10548
SESKU Community Cupboard,858.11,2022,Eat less often and in small amounts,10548
SESKU Community Cupboard,1893.44,2022,Fruit and vegetables,10548
SESKU Community Cupboard,423.35,2022,Not Applicable,10548
SESKU Community Cupboard,3,2022,Oil & Spreads,10548
SESKU Community Cupboard,1513.18,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10548
Shantona Women s Centre HH,13.35,2022,"Beans, pulses, fish, eggs, meat and other proteins",3392
Shantona Women s Centre HH,59.2,2022,Dairy and alternatives,3392
Shantona Women s Centre HH,43,2022,Eat less often and in small amounts,3392
Shantona Women s Centre HH,174.7,2022,Fruit and vegetables,3392
Shantona Women s Centre HH,72,2022,Not Applicable,3392
Shantona Women s Centre HH,91,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3392
Soup & More Foodbank,1067.83,2022,"Beans, pulses, fish, eggs, meat and other proteins",4583
Soup & More Foodbank,879.65,2022,Dairy and alternatives,4583
Soup & More Foodbank,1039.28,2022,Eat less often and in small amounts,4583
Soup & More Foodbank,2527.69,2022,Fruit and vegetables,4583
Soup & More Foodbank,790.2,2022,Not Applicable,4583
Soup & More Foodbank,36,2022,Oil & Spreads,4583
Soup & More Foodbank,1399.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4583
Soup & More Foodbank (YSH),799.45,2022,"Beans, pulses, fish, eggs, meat and other proteins",10222
Soup & More Foodbank (YSH),31,2022,Dairy and alternatives,10222
Soup & More Foodbank (YSH),279.8,2022,Eat less often and in small amounts,10222
Soup & More Foodbank (YSH),676.8,2022,Fruit and vegetables,10222
Soup & More Foodbank (YSH),20,2022,Not Applicable,10222
Soup & More Foodbank (YSH),321.24,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10222
Southway Education,171.4,2022,"Beans, pulses, fish, eggs, meat and other proteins",11275
Southway Education,130.3,2022,Dairy and alternatives,11275
Southway Education,179.85,2022,Eat less often and in small amounts,11275
Southway Education,304.1,2022,Fruit and vegetables,11275
Southway Education,73.1,2022,Not Applicable,11275
Southway Education,152,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",11275
"Space 2, The People's Pantry",684.24,2022,"Beans, pulses, fish, eggs, meat and other proteins",3660
"Space 2, The People's Pantry",673,2022,Dairy and alternatives,3660
"Space 2, The People's Pantry",765.72,2022,Eat less often and in small amounts,3660
"Space 2, The People's Pantry",1717.82,2022,Fruit and vegetables,3660
"Space 2, The People's Pantry",758.6,2022,Not Applicable,3660
"Space 2, The People's Pantry",6,2022,Oil & Spreads,3660
"Space 2, The People's Pantry",1143.38,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3660
St Aidans Church Community Share Foodbank,898.4,2022,"Beans, pulses, fish, eggs, meat and other proteins",1445
St Aidans Church Community Share Foodbank,752.5,2022,Dairy and alternatives,1445
St Aidans Church Community Share Foodbank,906.55,2022,Eat less often and in small amounts,1445
St Aidans Church Community Share Foodbank,2430.72,2022,Fruit and vegetables,1445
St Aidans Church Community Share Foodbank,444.6,2022,Not Applicable,1445
St Aidans Church Community Share Foodbank,6,2022,Oil & Spreads,1445
St Aidans Church Community Share Foodbank,1392.52,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",1445
St Catherines Church & Centre,1534.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",119
St Catherines Church & Centre,794.3,2022,Dairy and alternatives,119
St Catherines Church & Centre,807.05,2022,Eat less often and in small amounts,119
St Catherines Church & Centre,2570.55,2022,Fruit and vegetables,119
St Catherines Church & Centre,254.4,2022,Not Applicable,119
St Catherines Church & Centre,6,2022,Oil & Spreads,119
St Catherines Church & Centre,1367.85,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",119
St Cross Community Action,16.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",6204
St Cross Community Action,0,2022,Dairy and alternatives,6204
St Cross Community Action,22,2022,Eat less often and in small amounts,6204
St Cross Community Action,19.35,2022,Fruit and vegetables,6204
St Cross Community Action,33,2022,Not Applicable,6204
St Cross Community Action,33,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",6204
St Edmund's Nursery School,442.84,2022,"Beans, pulses, fish, eggs, meat and other proteins",9496
St Edmund's Nursery School,656.42,2022,Dairy and alternatives,9496
St Edmund's Nursery School,883.85,2022,Eat less often and in small amounts,9496
St Edmund's Nursery School,2849.66,2022,Fruit and vegetables,9496
St Edmund's Nursery School,430.5,2022,Not Applicable,9496
St Edmund's Nursery School,1103.04,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9496
St Georges Crypt Centre,2937.9,2022,"Beans, pulses, fish, eggs, meat and other proteins",577
St Georges Crypt Centre,319.4,2022,Dairy and alternatives,577
St Georges Crypt Centre,952.98,2022,Eat less often and in small amounts,577
St Georges Crypt Centre,1255.3,2022,Fruit and vegetables,577
St Georges Crypt Centre,1495,2022,Not Applicable,577
St Georges Crypt Centre,3,2022,Oil & Spreads,577
St Georges Crypt Centre,1402.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",577
St Georges Crypt Centre (YSH),491,2022,"Beans, pulses, fish, eggs, meat and other proteins",9320
St Georges Crypt Centre (YSH),131.62,2022,Eat less often and in small amounts,9320
St Georges Crypt Centre (YSH),84.4,2022,Fruit and vegetables,9320
St Georges Crypt Centre (YSH),164.8,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9320
St Georges Lupset,1482.5,2022,"Beans, pulses, fish, eggs, meat and other proteins",983
St Georges Lupset,896.1,2022,Dairy and alternatives,983
St Georges Lupset,1395.8,2022,Eat less often and in small amounts,983
St Georges Lupset,4504.85,2022,Fruit and vegetables,983
St Georges Lupset,519.7,2022,Not Applicable,983
St Georges Lupset,22.3,2022,Oil & Spreads,983
St Georges Lupset,1655.99,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",983
St Giles Food Share (Pontefract),279.78,2022,"Beans, pulses, fish, eggs, meat and other proteins",4574
St Giles Food Share (Pontefract),145.5,2022,Dairy and alternatives,4574
St Giles Food Share (Pontefract),1028.35,2022,Eat less often and in small amounts,4574
St Giles Food Share (Pontefract),2146.98,2022,Fruit and vegetables,4574
St Giles Food Share (Pontefract),636.4,2022,Not Applicable,4574
St Giles Food Share (Pontefract),3,2022,Oil & Spreads,4574
St Giles Food Share (Pontefract),1516.98,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4574
St Giles Trust - Yorkshire Pantry (YSH),843.35,2022,"Beans, pulses, fish, eggs, meat and other proteins",9424
St Giles Trust - Yorkshire Pantry (YSH),59,2022,Dairy and alternatives,9424
St Giles Trust - Yorkshire Pantry (YSH),347,2022,Eat less often and in small amounts,9424
St Giles Trust - Yorkshire Pantry (YSH),659.8,2022,Fruit and vegetables,9424
St Giles Trust - Yorkshire Pantry (YSH),379.84,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9424
St Martins Community Kitchen,211.2,2022,"Beans, pulses, fish, eggs, meat and other proteins",1446
St Martins Community Kitchen,225.1,2022,Dairy and alternatives,1446
St Martins Community Kitchen,181,2022,Eat less often and in small amounts,1446
St Martins Community Kitchen,423.8,2022,Fruit and vegetables,1446
St Martins Community Kitchen,122.1,2022,Not Applicable,1446
St Martins Community Kitchen,405.7,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",1446
St Peter s CoE Primary (Leeds),52.1,2022,"Beans, pulses, fish, eggs, meat and other proteins",8018
St Peter s CoE Primary (Leeds),42.8,2022,Dairy and alternatives,8018
St Peter s CoE Primary (Leeds),49,2022,Eat less often and in small amounts,8018
St Peter s CoE Primary (Leeds),764.8,2022,Fruit and vegetables,8018
St Peter s CoE Primary (Leeds),22.1,2022,Not Applicable,8018
St Peter s CoE Primary (Leeds),26,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",8018
St Peter's CoE Primary School (Birstall),614.44,2022,"Beans, pulses, fish, eggs, meat and other proteins",9644
St Peter's CoE Primary School (Birstall),586.5,2022,Dairy and alternatives,9644
St Peter's CoE Primary School (Birstall),567.55,2022,Eat less often and in small amounts,9644
St Peter's CoE Primary School (Birstall),1597.08,2022,Fruit and vegetables,9644
St Peter's CoE Primary School (Birstall),433.35,2022,Not Applicable,9644
St Peter's CoE Primary School (Birstall),6,2022,Oil & Spreads,9644
St Peter's CoE Primary School (Birstall),848.88,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9644
St Vincents Support Centre & Cafe,969.68,2022,"Beans, pulses, fish, eggs, meat and other proteins",579
St Vincents Support Centre & Cafe,706.5,2022,Dairy and alternatives,579
St Vincents Support Centre & Cafe,1115.44,2022,Eat less often and in small amounts,579
St Vincents Support Centre & Cafe,2685.4,2022,Fruit and vegetables,579
St Vincents Support Centre & Cafe,674.4,2022,Not Applicable,579
St Vincents Support Centre & Cafe,6,2022,Oil & Spreads,579
St Vincents Support Centre & Cafe,1680.98,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",579
St Vincents Support Centre & Cafe Healtht Holidays,32.88,2022,"Beans, pulses, fish, eggs, meat and other proteins",9857
St Vincents Support Centre & Cafe Healtht Holidays,26,2022,Dairy and alternatives,9857
St Vincents Support Centre & Cafe Healtht Holidays,48.9,2022,Eat less often and in small amounts,9857
St Vincents Support Centre & Cafe Healtht Holidays,87,2022,Fruit and vegetables,9857
St Vincents Support Centre & Cafe Healtht Holidays,66.6,2022,Not Applicable,9857
St Vincents Support Centre & Cafe Healtht Holidays,124.8,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9857
Stitch-up (HH),13.35,2022,"Beans, pulses, fish, eggs, meat and other proteins",5438
Stitch-up (HH),25,2022,Dairy and alternatives,5438
Stitch-up (HH),4.8,2022,Eat less often and in small amounts,5438
Stitch-up (HH),35.1,2022,Fruit and vegetables,5438
Stitch-up (HH),6.8,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5438
Swinnow Community Centre,1814.965,2022,"Beans, pulses, fish, eggs, meat and other proteins",4101
Swinnow Community Centre,1011.55,2022,Dairy and alternatives,4101
Swinnow Community Centre,1027.58,2022,Eat less often and in small amounts,4101
Swinnow Community Centre,2549.49,2022,Fruit and vegetables,4101
Swinnow Community Centre,595.95,2022,Not Applicable,4101
Swinnow Community Centre,9,2022,Oil & Spreads,4101
Swinnow Community Centre,1791.2,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4101
TCV Skelton Grange HH,29.1,2022,Dairy and alternatives,4904
TCV Skelton Grange HH,23.6,2022,Eat less often and in small amounts,4904
TCV Skelton Grange HH,76.2,2022,Fruit and vegetables,4904
TCV Skelton Grange HH,16,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4904
The Ark Church,302.74,2022,"Beans, pulses, fish, eggs, meat and other proteins",8014
The Ark Church,137.9,2022,Dairy and alternatives,8014
The Ark Church,966.87,2022,Eat less often and in small amounts,8014
The Ark Church,2024.86,2022,Fruit and vegetables,8014
The Ark Church,580.15,2022,Not Applicable,8014
The Ark Church,3,2022,Oil & Spreads,8014
The Ark Church,1524.98,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",8014
The Crescent CIC,118.25,2022,"Beans, pulses, fish, eggs, meat and other proteins",11011
The Crescent CIC,162.9,2022,Dairy and alternatives,11011
The Crescent CIC,687,2022,Eat less often and in small amounts,11011
The Crescent CIC,1063.7,2022,Fruit and vegetables,11011
The Crescent CIC,451.85,2022,Not Applicable,11011
The Crescent CIC,10.5,2022,Oil & Spreads,11011
The Crescent CIC,1049,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",11011
"The Crossroads, Meltham FoodBank",619.76,2022,"Beans, pulses, fish, eggs, meat and other proteins",10913
"The Crossroads, Meltham FoodBank",383.8,2022,Dairy and alternatives,10913
"The Crossroads, Meltham FoodBank",557.3,2022,Eat less often and in small amounts,10913
"The Crossroads, Meltham FoodBank",1302.96,2022,Fruit and vegetables,10913
"The Crossroads, Meltham FoodBank",364.4,2022,Not Applicable,10913
"The Crossroads, Meltham FoodBank",751.97,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10913
The Life Centre,1032.45,2022,"Beans, pulses, fish, eggs, meat and other proteins",121
The Life Centre,793.7,2022,Dairy and alternatives,121
The Life Centre,1222.9,2022,Eat less often and in small amounts,121
The Life Centre,1361.85,2022,Fruit and vegetables,121
The Life Centre,718.2,2022,Not Applicable,121
The Life Centre,9,2022,Oil & Spreads,121
The Life Centre,837.8,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",121
The Life Centre (YSH),915.57,2022,"Beans, pulses, fish, eggs, meat and other proteins",9461
The Life Centre (YSH),18,2022,Dairy and alternatives,9461
The Life Centre (YSH),386.14,2022,Eat less often and in small amounts,9461
The Life Centre (YSH),673.9,2022,Fruit and vegetables,9461
The Life Centre (YSH),56,2022,Not Applicable,9461
The Life Centre (YSH),331.07,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9461
The Old Fire Station (HH),10,2022,"Beans, pulses, fish, eggs, meat and other proteins",3391
The Old Fire Station (HH),27.7,2022,Dairy and alternatives,3391
The Old Fire Station (HH),19.95,2022,Eat less often and in small amounts,3391
The Old Fire Station (HH),54,2022,Fruit and vegetables,3391
The Old Fire Station (HH),24.5,2022,Not Applicable,3391
The Scholemoor Beacon,719.17,2022,"Beans, pulses, fish, eggs, meat and other proteins",3730
The Scholemoor Beacon,532.5,2022,Dairy and alternatives,3730
The Scholemoor Beacon,571.3,2022,Eat less often and in small amounts,3730
The Scholemoor Beacon,1711.68,2022,Fruit and vegetables,3730
The Scholemoor Beacon,349.8,2022,Not Applicable,3730
The Scholemoor Beacon,6,2022,Oil & Spreads,3730
The Scholemoor Beacon,821.8,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3730
The Vine (Prime Time Bradford),791.31,2022,"Beans, pulses, fish, eggs, meat and other proteins",3145
The Vine (Prime Time Bradford),501,2022,Dairy and alternatives,3145
The Vine (Prime Time Bradford),762.61,2022,Eat less often and in small amounts,3145
The Vine (Prime Time Bradford),2520.92,2022,Fruit and vegetables,3145
The Vine (Prime Time Bradford),356.05,2022,Not Applicable,3145
The Vine (Prime Time Bradford),3,2022,Oil & Spreads,3145
The Vine (Prime Time Bradford),750.6,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3145
The Well Project,545.1,2022,"Beans, pulses, fish, eggs, meat and other proteins",992
The Well Project,436,2022,Dairy and alternatives,992
The Well Project,984.55,2022,Eat less often and in small amounts,992
The Well Project,1041.45,2022,Fruit and vegetables,992
The Well Project,602.35,2022,Not Applicable,992
The Well Project,4.5,2022,Oil & Spreads,992
The Well Project,1386.85,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",992
Thornbury Food Hub,262.2,2022,"Beans, pulses, fish, eggs, meat and other proteins",6916
Thornbury Food Hub,116.3,2022,Dairy and alternatives,6916
Thornbury Food Hub,703.47,2022,Eat less often and in small amounts,6916
Thornbury Food Hub,2002.78,2022,Fruit and vegetables,6916
Thornbury Food Hub,503,2022,Not Applicable,6916
Thornbury Food Hub,856.74,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",6916
Thornbury Food Hub (YSH),54,2022,"Beans, pulses, fish, eggs, meat and other proteins",10590
Thornbury Food Hub (YSH),9,2022,Eat less often and in small amounts,10590
Thornbury Food Hub (YSH),17.6,2022,Fruit and vegetables,10590
Thornbury Food Hub (YSH),20.6,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10590
"Thornbury School, Food Hub YSH",507.92,2022,"Beans, pulses, fish, eggs, meat and other proteins",10558
"Thornbury School, Food Hub YSH",184.3,2022,Eat less often and in small amounts,10558
"Thornbury School, Food Hub YSH",372.5,2022,Fruit and vegetables,10558
"Thornbury School, Food Hub YSH",230.2,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10558
Thornhill J & I School (THURSDAY),704.06,2022,"Beans, pulses, fish, eggs, meat and other proteins",5802
Thornhill J & I School (THURSDAY),612.5,2022,Dairy and alternatives,5802
Thornhill J & I School (THURSDAY),642.95,2022,Eat less often and in small amounts,5802
Thornhill J & I School (THURSDAY),1814.56,2022,Fruit and vegetables,5802
Thornhill J & I School (THURSDAY),420.55,2022,Not Applicable,5802
Thornhill J & I School (THURSDAY),6,2022,Oil & Spreads,5802
Thornhill J & I School (THURSDAY),980.98,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5802
Tong and Laisterdyke (YSH),1007.8,2022,"Beans, pulses, fish, eggs, meat and other proteins",10200
Tong and Laisterdyke (YSH),15.2,2022,Dairy and alternatives,10200
Tong and Laisterdyke (YSH),462.04,2022,Eat less often and in small amounts,10200
Tong and Laisterdyke (YSH),811.4,2022,Fruit and vegetables,10200
Tong and Laisterdyke (YSH),24,2022,Not Applicable,10200
Tong and Laisterdyke (YSH),392.81,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10200
Tong and Laisterdyke PCC,876.05,2022,"Beans, pulses, fish, eggs, meat and other proteins",10170
Tong and Laisterdyke PCC,786.85,2022,Dairy and alternatives,10170
Tong and Laisterdyke PCC,832.65,2022,Eat less often and in small amounts,10170
Tong and Laisterdyke PCC,2669.15,2022,Fruit and vegetables,10170
Tong and Laisterdyke PCC,281.8,2022,Not Applicable,10170
Tong and Laisterdyke PCC,6,2022,Oil & Spreads,10170
Tong and Laisterdyke PCC,1060.9,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10170
Trinity Mission (YSH),762.33,2022,"Beans, pulses, fish, eggs, meat and other proteins",10167
Trinity Mission (YSH),22,2022,Dairy and alternatives,10167
Trinity Mission (YSH),309.7,2022,Eat less often and in small amounts,10167
Trinity Mission (YSH),769.8,2022,Fruit and vegetables,10167
Trinity Mission (YSH),257.94,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10167
Trinity Mission Castleford CIO,863.5,2022,"Beans, pulses, fish, eggs, meat and other proteins",122
Trinity Mission Castleford CIO,450.1,2022,Dairy and alternatives,122
Trinity Mission Castleford CIO,1052.75,2022,Eat less often and in small amounts,122
Trinity Mission Castleford CIO,1938.35,2022,Fruit and vegetables,122
Trinity Mission Castleford CIO,660.05,2022,Not Applicable,122
Trinity Mission Castleford CIO,23.8,2022,Oil & Spreads,122
Trinity Mission Castleford CIO,1711.75,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",122
UCKG Community Soup Kitchen,766.78,2022,"Beans, pulses, fish, eggs, meat and other proteins",7264
UCKG Community Soup Kitchen,831.6,2022,Dairy and alternatives,7264
UCKG Community Soup Kitchen,870.25,2022,Eat less often and in small amounts,7264
UCKG Community Soup Kitchen,2167.82,2022,Fruit and vegetables,7264
UCKG Community Soup Kitchen,478.4,2022,Not Applicable,7264
UCKG Community Soup Kitchen,3,2022,Oil & Spreads,7264
UCKG Community Soup Kitchen,1312.68,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",7264
United Response,15,2022,Eat less often and in small amounts,5507
United Response,15,2022,Fruit and vegetables,5507
United Response,491.85,2022,Not Applicable,5507
Upper Batley High School,790.35,2022,"Beans, pulses, fish, eggs, meat and other proteins",9495
Upper Batley High School,559.7,2022,Dairy and alternatives,9495
Upper Batley High School,618,2022,Eat less often and in small amounts,9495
Upper Batley High School,1995.05,2022,Fruit and vegetables,9495
Upper Batley High School,205.4,2022,Not Applicable,9495
Upper Batley High School,3,2022,Oil & Spreads,9495
Upper Batley High School,903.85,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9495
Volunteers FSY Leeds,32,2022,"Beans, pulses, fish, eggs, meat and other proteins",3677
Volunteers FSY Leeds,43.8,2022,Dairy and alternatives,3677
Volunteers FSY Leeds,26,2022,Eat less often and in small amounts,3677
Volunteers FSY Leeds,78.4,2022,Fruit and vegetables,3677
Volunteers FSY Leeds,20.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3677
Watsonia Food Pantry (YSH),1011.82,2022,"Beans, pulses, fish, eggs, meat and other proteins",9583
Watsonia Food Pantry (YSH),16,2022,Dairy and alternatives,9583
Watsonia Food Pantry (YSH),278.2,2022,Eat less often and in small amounts,9583
Watsonia Food Pantry (YSH),742.1,2022,Fruit and vegetables,9583
Watsonia Food Pantry (YSH),73,2022,Not Applicable,9583
Watsonia Food Pantry (YSH),394.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9583
Welcome Centre,343.3,2022,"Beans, pulses, fish, eggs, meat and other proteins",994
Welcome Centre,268.1,2022,Dairy and alternatives,994
Welcome Centre,1601.8,2022,Eat less often and in small amounts,994
Welcome Centre,1103,2022,Fruit and vegetables,994
Welcome Centre,3251.7,2022,Not Applicable,994
Welcome Centre,35.6,2022,Oil & Spreads,994
Welcome Centre,2695.4,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",994
Well Project (YSH),297.33,2022,"Beans, pulses, fish, eggs, meat and other proteins",9425
Well Project (YSH),133,2022,Eat less often and in small amounts,9425
Well Project (YSH),410.5,2022,Fruit and vegetables,9425
Well Project (YSH),16,2022,Not Applicable,9425
Well Project (YSH),191.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",9425
Westwood Primary School,687,2022,"Beans, pulses, fish, eggs, meat and other proteins",4665
Westwood Primary School,593.5,2022,Dairy and alternatives,4665
Westwood Primary School,663.6,2022,Eat less often and in small amounts,4665
Westwood Primary School,1514.52,2022,Fruit and vegetables,4665
Westwood Primary School,337,2022,Not Applicable,4665
Westwood Primary School,969.58,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",4665
Yorkshire Pantry (Leeds) St Giles Trust,830.54,2022,"Beans, pulses, fish, eggs, meat and other proteins",8142
Yorkshire Pantry (Leeds) St Giles Trust,740.8,2022,Dairy and alternatives,8142
Yorkshire Pantry (Leeds) St Giles Trust,873.43,2022,Eat less often and in small amounts,8142
Yorkshire Pantry (Leeds) St Giles Trust,2096.85,2022,Fruit and vegetables,8142
Yorkshire Pantry (Leeds) St Giles Trust,481.75,2022,Not Applicable,8142
Yorkshire Pantry (Leeds) St Giles Trust,6,2022,Oil & Spreads,8142
Yorkshire Pantry (Leeds) St Giles Trust,1206.3,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",8142
Zarach,1163.24,2022,"Beans, pulses, fish, eggs, meat and other proteins",10642
Zarach,1172.7,2022,Dairy and alternatives,10642
Zarach,872.36,2022,Eat less often and in small amounts,10642
Zarach,2660.13,2022,Fruit and vegetables,10642
Zarach,740.6,2022,Not Applicable,10642
Zarach,15,2022,Oil & Spreads,10642
Zarach,1007.8,2022,"Potatoes, bread, rice, pasta and other starchy carbohydrates",10642
Acorns,637.6,2023,"Beans, pulses, fish, eggs, meat and other proteins",3147
Acorns,853.4,2023,Dairy and alternatives,3147
Acorns,678.34,2023,Eat less often and in small amounts,3147
Acorns,2608.82,2023,Fruit and vegetables,3147
Acorns,373.48,2023,Not Applicable,3147
Acorns,1298.89,2023,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3147
Advancement of Community Empowerment,3.8,2023,"Beans, pulses, fish, eggs, meat and other proteins",12203
Advancement of Community Empowerment,33.4,2023,Dairy and alternatives,12203
Advancement of Community Empowerment,95,2023,Eat less often and in small amounts,12203
Advancement of Community Empowerment,258.6,2023,Fruit and vegetables,12203
Advancement of Community Empowerment,67.6,2023,Not Applicable,12203
Advancement of Community Empowerment,119.6,2023,"Potatoes, bread, rice, pasta and other starchy carbohydrates",12203
Allerton Bywater Primary School,490.2,2023,"Beans, pulses, fish, eggs, meat and other proteins",3376
Allerton Bywater Primary School,642.85,2023,Dairy and alternatives,3376
Allerton Bywater Primary School,548.6,2023,Eat less often and in small amounts,3376
Allerton Bywater Primary School,1875.81,2023,Fruit and vegetables,3376
Allerton Bywater Primary School,297.5,2023,Not Applicable,3376
Allerton Bywater Primary School,779.9,2023,"Potatoes, bread, rice, pasta and other starchy carbohydrates",3376
Allerton C of E Primary,526.4,2023,"Beans, pulses, fish, eggs, meat and other proteins",5524
Allerton C of E Primary,615.9,2023,Dairy and alternatives,5524
Allerton C of E Primary,560.5,2023,Eat less often and in small amounts,5524
Allerton C of E Primary,1835.73,2023,Fruit and vegetables,5524
Allerton C of E Primary,435.55,2023,Not Applicable,5524
Allerton C of E Primary,1011.172,2023,"Potatoes, bread, rice, pasta and other starchy carbohydrates",5524
Armley Action Team,306.25,2023,"Beans, pulses, fish, eggs, meat and other proteins",11975
Armley Action Team,283.05,2023,Dairy and alternatives,11975
Armley Action Team,221.8,2023,Eat less often and in small amounts,11975
Armley Action Team,1247.88,2023,Fruit and vegetables,11975
Armley Action Team,140.36,2023,Not Applicable,11975
Armley Action Team,517.45,2023,"Potatoes, bread, rice, pasta and other starchy carbohydrates",11975
Barkerend Primary Academy (Foodbank),117.4,2023,"Beans, pulses, fish, eggs, meat and other proteins",6920
Barkerend Primary Academy (Foodbank),548.4,2023,Dairy and alternatives,6920
