Nature of Organisation,Charity,Food Moved KG,Food Moved Meal Equivalents,CFMs Served,CFM Beneficiaries,Value of food (£),allocationpostcode,ONS Postcode Lookup.lat,ONS Postcode Lookup.long,Primary_Beneficiary_Group_Mapped,member_id
Community centre,CFYDC (Touchstone),1717.58,4089.55798,1,115,"6,217.57",LS7 2HJ,53.818757,-1.542567,Children (Under 18),10540
Food service only,Good Food Keighley,13703.96,32629.12876,1,115,"48,157.81",BD21 3QB,53.866919,-1.907023,Families with children,10541
Community centre,SESKU Community Cupboard,18197.404,43328.01892,1,115,"69,048.54",WF9 3QS,53.589842,-1.317133,People on low or no income,10548
Food service only,"Thornbury School, Food Hub YSH",2789.3,6641.3233,1,115,"13,854.60",BD3 7AU,53.796051,-1.70882,Families with children,10558
Food service only,Loving Hands Outreach Team,15558.86,37045.64566,1,115,"59,057.12",WF17 6DW,53.704357,-1.608445,People on low or no income,10575
Food service only,Thornbury Food Hub (YSH),101.2,240.9572,1,115,503.72,BD3 7AU,53.796051,-1.70882,Families with children,10590
Food service only,Horsforth Community Assets Project,16519.52,39332.97712,1,115,"61,145.17",LS18 5LA,53.84067,-1.640366,People on low or no income,10625
Advice / Resource centre,Zarach,26306.45,62635.65745,1,115,"97,334.03",LS9 7EQ,53.800484,-1.530817,Families with children,10642
Food service only,Pontefract Community Kitchen,18917.15,45041.73415,1,115,"76,078.89",WF8 1PE,53.692643,-1.309337,Homeless people & rough sleepers,10662
Residential setting,Happy Days UK (PCP Collection Only),6757.7,16090.0837,1,115,"12,273.00",HX6 2AG,53.709721,-1.903957,Homeless people & rough sleepers,10690
Food service only,Purpose of Life (POL),4440.08,10571.83048,1,115,"13,547.42",WF17 8LL,53.718837,-1.641227,People on low or no income,10730
Childcare,Burmantofts Community Nursery,17741.749,42243.10437,1,115,"69,704.81",LS9 7PY,53.800183,-1.525051,People on low or no income,10751
Childcare,Burmantofts Community Nursery (YSH),1349.84,3213.96904,1,115,"6,437.93",LS9 7PY,53.800183,-1.525051,People on low or no income,10806
Community centre,Connecting Crossgates HH (Crossgates),903.36,2150.90016,1,115,"3,532.17",LS15 8QR,53.807633,-1.451059,The local community,10807
,Connecting Crossgates HH (Seacroft),178.9,425.9609,1,115,780.20,LS14 1BX,53.827991,-1.469055,Children (Under 18),10808
Faith organisation,"The Crossroads, Meltham FoodBank",15926.29,37920.49649,1,115,"63,793.37",HD9 4AG,53.592501,-1.846887,The local community,10913
Community centre,The Crescent CIC,10898.37,25949.01897,1,115,"43,122.03",WF17 5SU,53.710605,-1.625734,The local community,11011
School,Southway Education,6876.04,16371.85124,1,115,"25,592.07",LS10 3JA,53.761882,-1.524819,Young people (18 - 25),11275
Faith organisation,"Connecting Crossgates ""Community Fridge""",14183.372,33770.60873,1,115,"49,025.37",LS15 8JH,53.811764,-1.444768,The local community,11276
Faith organisation,St John's Thorpe Edge Community Centre,9911.47,23599.21007,1,115,"35,643.68",BD10 9HX,53.829068,-1.725881,People on low or no income,11656
Community centre,Focus4Hope,11668.18,27781.93658,1,115,"44,499.41",HD6 1JZ,53.701126,-1.779439,Families with children,11657
Community centre,Eastmoor Community Project,11476.014,27324.38933,1,115,"44,337.35",WF1 4RR,53.68874,-1.479863,The local community,11702
Community centre,HfA Cottingley Pantry,7288.362,17353.58992,1,115,"25,977.24",LS11 0HJ,53.768422,-1.581436,Families with children,11936
Food service only,NIGERIAN YORKSHIRE COMMUNITIES NETWORK UK CIC,1471.74,3504.21294,1,115,"4,850.27",LS12 2QG,53.800116,-1.582032,"Black, Asian & minority ethnicities",11954
Community centre,Armley Action Team,5919.17,14093.54377,1,115,"20,910.95",LS12 3UF,53.797048,-1.591475,The local community,11975
Training centre,Community Values CIC,7630.468,18168.14431,1,115,"27,945.26",LS10 2LF,53.775498,-1.517317,The local community,11976
Food service only,Soup4Em,8083.34,19246.43254,1,115,"35,302.27",WF9 3HR,53.590813,-1.331515,The local community,11994
Training centre,NACRO College (Leeds),7331.292,17455.80625,1,115,"30,573.10",LS7 2JF,53.817606,-1.549505,Children (Under 18),12015
,The New Bierley Community Centre (Bradford Life Centre),5007.62,11923.14322,1,115,"21,146.56",BD4 6BU,53.764742,-1.730456,The local community,12117
Food service only,Food For Families,4649.3,11069.9833,1,115,"20,120.23",HX5 0SG,53.687795,-1.841288,Families with children,12156
Training centre,Advancement of Community Empowerment,3066.48,7301.28888,1,115,"9,419.49",BD8 7HP,53.803953,-1.762456,"Black, Asian & minority ethnicities",12203
,FoodCycle Beeston,3020.62,7192.09622,1,115,"9,188.03",LS11 8PD,53.779605,-1.554298,Socially Excluded People,12219
Food service only,FoodCycle Harehills,2502.95,5959.52395,1,115,"8,693.41",LS8 5QD,53.812262,-1.520282,The local community,12222
,FoodCycle Seacroft,2874.56,6844.32736,1,115,"8,818.62",LS14 6JB,53.817456,-1.458662,Socially Excluded People,12224
Community centre,Oblong Ltd Community Care Hub,2665.66,6346.93646,1,115,"7,685.17",LS6 2NY,53.814086,-1.555193,The local community,12402
Community centre,Little London Food Pantry (Leeds African Community Trust),1291.7,3075.5377,1,115,"4,386.58",LS7 1SR,53.808985,-1.53999,People on low or no income,12464
Food service only,Otley 2030 Community Larder,1634.92,3892.74452,1,115,"4,910.87",LS21 2DP,53.9149,-1.713323,People on low or no income,12476
Day centre / Drop in centre,The Immanuel Project,1457.23,3469.66463,1,115,"5,473.21",BD1 2QT,53.7949,-1.757087,Homeless people & rough sleepers,12500
Community centre,Denby Dale Centre Pantry,1708.8,4068.6528,1,115,"6,188.01",HD8 9BH,53.592099,-1.651075,People on low or no income,12503
Faith organisation,Five Towns Christian Fellowship,621.5,1479.7915,1,115,"2,071.12",WF10 5RR,53.719366,-1.35965,The local community,12588
Residential setting,Reflections Yorkshire CIC,345.76,823.25456,1,115,"1,183.13",WF10 1DL,53.725432,-1.352923,People with drug or alcohol addiction,12636
